conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,RTT_samples_a2b,RTT_samples_b2a,RTT_min_a2b,RTT_min_b2a,RTT_max_a2b,RTT_max_b2a,RTT_avg_a2b,RTT_avg_b2a,RTT_stdev_a2b,RTT_stdev_b2a,RTT_from_3WHS_a2b,RTT_from_3WHS_b2a,RTT_full_sz_smpls_a2b,RTT_full_sz_smpls_b2a,RTT_full_sz_min_a2b,RTT_full_sz_min_b2a,RTT_full_sz_max_a2b,RTT_full_sz_max_b2a,RTT_full_sz_avg_a2b,RTT_full_sz_avg_b2a,RTT full_sz_stdev_a2b,RTT_full_sz_stdev_b2a,post-loss_acks_a2b,post-loss_acks_b2a,ambiguous_acks_a2b,ambiguous_acks_b2a,RTT_min_(last)_a2b,RTT_min_(last)_b2a,RTT_max_(last)_a2b,RTT_max_(last)_b2a,RTT_avg_(last)_a2b,RTT_avg_(last)_b2a,RTT_sdv_(last)_a2b,RTT_sdv_(last)_b2a,segs_cum_acked_a2b,segs_cum_acked_b2a,duplicate_acks_a2b,duplicate_acks_b2a,triple_dupacks_a2b,triple_dupacks_b2a,max_#_retrans_a2b,max_#_retrans_b2a,min_retr_time_a2b,min_retr_time_b2a,max_retr_time_a2b,max_retr_time_b2a,avg_retr_time_a2b,avg_retr_time_b2a,sdv_retr_time_a2b,sdv_retr_time_b2a,

10,10.0.0.1,10.0.1.1,46658,80,1693944788.717125 , 1693944788.778765 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           20.5,           20.9,              0,              0,           2255,           7901,              3,              3,           20.1,            0.0,           20.2,            0.0,           20.2,            0.0,            0.1,            0.0,           20.1,            0.0,              2,              2,           20.1,            0.0,           20.2,            0.0,           20.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
11,10.0.0.1,10.0.1.1,46664,80,1693944788.800010 , 1693944788.861458 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           20.4,           20.8,              0,              0,           2262,           7925,              3,              3,           20.1,            0.0,           20.2,            0.0,           20.1,            0.0,            0.1,            0.0,           20.1,            0.0,              2,              2,           20.1,            0.0,           20.2,            0.0,           20.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
12,10.0.0.1,10.0.1.1,46670,80,1693944788.993424 , 1693944789.55167 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           20.4,           21.0,              0,              0,           2251,           7888,              3,              3,           20.1,            0.0,           20.3,            0.0,           20.2,            0.0,            0.1,            0.0,           20.1,            0.0,              2,              2,           20.1,            0.0,           20.3,            0.0,           20.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
13,10.0.0.1,10.0.1.1,46674,80,1693944789.7142 , 1693944789.68606 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           20.4,           20.8,              0,              0,           2261,           7923,              3,              3,           20.1,            0.0,           20.2,            0.0,           20.1,            0.0,            0.0,            0.0,           20.1,            0.0,              2,              2,           20.1,            0.0,           20.2,            0.0,           20.1,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
14,10.0.0.1,10.0.1.1,46690,80,1693944789.39429 , 1693944789.100958 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           20.5,           20.9,              0,              0,           2259,           7915,              3,              3,           20.1,            0.0,           20.3,            0.0,           20.2,            0.0,            0.1,            0.0,           20.1,            0.0,              2,              2,           20.1,            0.0,           20.3,            0.0,           20.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
15,10.0.0.1,10.0.1.1,46704,80,1693944789.103867 , 1693944789.165352 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           20.4,           20.9,              0,              0,           2261,           7921,              3,              3,           20.1,            0.0,           20.2,            0.0,           20.1,            0.0,            0.0,            0.0,           20.1,            0.0,              2,              2,           20.1,            0.0,           20.2,            0.0,           20.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
16,10.0.0.1,10.0.1.1,46706,80,1693944789.206021 , 1693944789.267592 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           20.5,           20.9,              0,              0,           2258,           7910,              3,              3,           20.1,            0.0,           20.3,            0.0,           20.2,            0.0,            0.1,            0.0,           20.1,            0.0,              2,              2,           20.1,            0.0,           20.3,            0.0,           20.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
17,10.0.0.1,10.0.1.1,46716,80,1693944789.279604 , 1693944789.341147 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           20.5,           20.8,              0,              0,           2259,           7913,              3,              3,           20.1,            0.0,           20.2,            0.0,           20.2,            0.0,            0.0,            0.0,           20.2,            0.0,              2,              2,           20.2,            0.0,           20.2,            0.0,           20.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
18,10.0.0.1,10.0.1.1,46718,80,1693944789.602197 , 1693944789.663660 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           20.4,           20.8,              0,              0,           2262,           7923,              3,              3,           20.1,            0.0,           20.2,            0.1,           20.2,            0.0,            0.0,            0.0,           20.1,            0.1,              2,              2,           20.1,            0.0,           20.2,            0.1,           20.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
19,10.0.0.1,10.0.1.1,46730,80,1693944789.675166 , 1693944789.736671 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           20.5,           20.8,              0,              0,           2260,           7918,              3,              3,           20.1,            0.0,           20.2,            0.0,           20.2,            0.0,            0.1,            0.0,           20.1,            0.0,              2,              2,           20.1,            0.0,           20.2,            0.0,           20.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
